time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448800000	19.6646	15.578	4.7262	1.99034	0.606061	lidar	3.57613	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5709	15.7831	4.71106	2.01702	0.599365	radar	1.3377	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.467	15.9967	4.71464	2.04639	0.598675	lidar	0.0123331	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3657	16.2048	4.71308	2.06262	0.569512	radar	1.81149	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2562	16.3825	4.67013	2.09251	0.571877	lidar	0.694088	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1384	16.5791	4.66316	2.12227	0.574988	radar	0.274834	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0079	16.7893	4.68588	2.15116	0.574669	lidar	0.140535	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8509	16.9817	4.69924	2.20951	0.635411	radar	6.58612	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.677	17.2169	4.78907	2.2441	0.636422	lidar	1.84793	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5745	17.4208	4.77102	2.22986	0.549803	radar	6.06335	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3604	17.6127	4.83217	2.2772	0.568729	lidar	3.85792	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2243	17.8039	4.82302	2.28099	0.520378	radar	2.41639	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0923	17.9898	4.80539	2.29767	0.511265	lidar	0.906089	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9168	18.145	4.79047	2.34036	0.542037	radar	1.95825	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7854	18.2874	4.72141	2.36206	0.537893	lidar	1.0918	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6523	18.4684	4.70526	2.3693	0.510103	radar	6.68242	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4573	18.65	4.75304	2.39733	0.511781	lidar	0.491312	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2769	18.7913	4.73753	2.43199	0.52756	radar	1.74668	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1154	18.9278	4.69878	2.45656	0.526396	lidar	0.323038	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9482	19.0981	4.70655	2.46853	0.505363	radar	3.0627	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7311	19.2137	4.70908	2.50893	0.520682	lidar	2.69401	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.541	19.3672	4.72699	2.53258	0.52152	radar	3.24115	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3157	19.5284	4.79127	2.5583	0.519986	lidar	0.868442	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.093	19.6119	4.77282	2.60857	0.555499	radar	10.0661	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8874	19.7559	4.79668	2.62887	0.547474	lidar	0.774843	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.699	19.8802	4.76748	2.63462	0.504227	radar	3.23438	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4679	20.0333	4.8317	2.65262	0.495624	lidar	1.35837	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
